2.307984706426011456e+01,4.064815579569728499e+01,3.099324955757418287e+00
2.305967177854830652e+01,5.050919505218722350e+01,2.660669642007748248e+00
1.613945902113527353e+01,5.548177415876659069e+01,2.599309347349046284e+00
1.800481825308600037e+01,5.552834581923237067e+01,3.058284188554078131e+00
1.403739836034800703e+01,5.283945303164365725e+01,2.368879731293830559e+00
2.407770144840597837e+01,5.235547226304056778e+01,3.009163547108759662e+00
2.585060251339094961e+01,5.392684782145779820e+01,3.348566472389046034e+00
2.321945085991589508e+01,5.308362593679768793e+01,4.000000000000000000e+00
2.390316562371120668e+01,5.293135072357386406e+01,2.000000000000000000e+00
2.528202792447842029e+01,5.139897701390979279e+01,3.704566282878213990e+00
2.515413116216531009e+01,5.150974725555764167e+01,3.622883349257109309e+00
2.499518514796288926e+01,5.164757872388755544e+01,3.522315850124963621e+00
2.487926879034375105e+01,5.175005386878908809e+01,3.447884503694176317e+00
2.483859137291134900e+01,5.164613597988207516e+01,3.612658043193471169e+00
2.503557694201157346e+01,5.168275266907759402e+01,3.274131876320298229e+00
