,0,1,2,3,4
0,0.3048,0.05,1.0,0.3704545454545455,755.087581714284
1,0.49,0.6,0.5,0.7670454545454546,1079.9683410629739
2,0.1828,0.95,0.0,0.9159090909090909,771.2453934092016
3,0.0704,0.9,1.0,0.5005681818181819,1807.3362438116892
4,0.9164,0.1,0.0,0.43863636363636366,857.1946115261997
5,0.1112,0.6,0.5,0.525,1043.444710165716
6,0.184,0.6,1.0,0.4869318181818182,1417.3208758842325
7,0.05,0.2,0.0,0.17954545454545454,574.3062524326572
8,0.0524,0.8,1.0,0.4011363636363636,1776.3476484808118
9,1.0376,0.2,0.5,0.678409090909091,1019.1919773811757
