1.034290227794820112e+03,4.042966394751281456e+01,2.012008160691397762e+00,1.352792829613415734e+03
1.049857987439062754e+03,4.050885937867083442e+01,2.026509072831637503e+00,1.628899440039160027e+03
1.059197398340262225e+03,4.082612379949562609e+01,2.048092242937883611e+00,1.612416377269244322e+03
1.068360933920319667e+03,4.142065889767508935e+01,2.082914821232128233e+00,1.684698061514708115e+03
1.097433172640363637e+03,4.157562891486134049e+01,2.122885247681080223e+00,1.660443360133510851e+03
1.100849162927906946e+03,4.197868867704124796e+01,2.186621838157204234e+00,1.655486285413341420e+03
1.188695882073532403e+03,4.226904292015583309e+01,2.198998594526334838e+00,1.803644596709321377e+03
1.275251652150584732e+03,4.273746089640350476e+01,2.238779546140048815e+00,1.916740387117773480e+03
1.288684858412345875e+03,4.315678851669522231e+01,2.247574637434642142e+00,1.857160466247122940e+03
1.302720116281933315e+03,4.318266030961629554e+01,2.255305964281893338e+00,1.773578607082350118e+03
1.420149327849399469e+03,4.331987209346542045e+01,2.269980502051072158e+00,1.748783120899453252e+03
1.428866705536839845e+03,4.353783628944067630e+01,2.270308360988901875e+00,1.921112658297244025e+03
1.502652287921617699e+03,4.402433483253017243e+01,2.298057083655862254e+00,1.779957139331477492e+03
1.509948071071700269e+03,4.446036814085741184e+01,2.299799771159977801e+00,1.683936793912137773e+03
1.516350907554691503e+03,4.470362348448540502e+01,2.303032822769596866e+00,1.828602770719124919e+03
1.527693543452757694e+03,4.482576408872951390e+01,2.341721255610321073e+00,1.713826196293640805e+03
1.556770751196072752e+03,4.509720254510349946e+01,2.368000403622333216e+00,1.759802375822402837e+03
1.605156230714037065e+03,4.593363107043503391e+01,2.368432164275510843e+00,1.580197473805411164e+03
1.640957446618726408e+03,4.628237099168143232e+01,2.425718351875795875e+00,1.723653296597996359e+03
1.728735395741883849e+03,4.652692885318287352e+01,2.452640673402094684e+00,1.706419555261619962e+03
1.802784425001364752e+03,4.692022002900272781e+01,2.454626384477522461e+00,1.774475170308860243e+03
